"Vendedor","IdVendedor","Logo"
"Amazon",1185732,"https://rawcdn.githack.com/Sebakan16/Data-Analytics---Coder-59700/e940eb60bbc214a688165bd4ddff001dd08d3da5/AMAZON.png"
"Foot Locker",1128299,"https://rawcdn.githack.com/Sebakan16/Data-Analytics---Coder-59700/e940eb60bbc214a688165bd4ddff001dd08d3da5/FOOTLOCKER.png"
"Kohl's",1189833,"https://rawcdn.githack.com/Sebakan16/Data-Analytics---Coder-59700/f91fd0007ee9408aa2beb2fed080c38f87414d22/KOHLS.png"
"Adidas",1197831,"https://rawcdn.githack.com/Sebakan16/Data-Analytics---Coder-59700/0da628082e18a37f717b71a39a61b426cb62905c/ADIDAS.png"
